Day,Ambient Temperature (oC),Total Radiation on Verticle Surface (90o) (W/m2)
0.0000,-2.8,0.0
0.0104,-2.8,0.0
0.0208,-2.8,0.0
0.0313,-2.8,0.0
0.0417,-2.7,0.0
0.0521,-2.7,0.0
0.0625,-2.6,0.0
0.0729,-2.6,0.0
0.0833,-2.5,0.0
0.0938,-2.5,0.0
0.1042,-2.5,0.0
0.1146,-2.4,0.0
0.1250,-2.4,0.0
0.1354,-2.4,0.0
0.1458,-2.3,0.0
0.1563,-2.3,0.0
0.1667,-2.2,0.0
0.1771,-2.2,0.0
0.1875,-2.1,0.0
0.1979,-2.1,0.0
0.2083,-2.0,0.0
0.2188,-2.0,0.0
0.2292,-1.9,0.0
0.2396,-1.9,0.0
0.2500,-1.8,0.0
0.2604,-1.8,0.0
0.2708,-1.8,0.0
0.2813,-1.7,0.0
0.2917,-1.7,0.0
0.3021,-1.7,1.2
0.3125,-1.5,5.0
0.3229,-1.3,8.0
0.3333,-1.2,10.0
0.3438,-1.1,11.7
0.3542,-1.0,13.4
0.3646,-0.9,16.0
0.3750,-0.8,20.6
0.3854,-0.7,25.9
0.3958,-0.6,30.5
0.4063,-0.4,32.1
0.4167,-0.2,27.6
0.4271,-0.2,20.7
0.4375,-0.2,15.9
0.4479,-0.2,16.9
0.4583,-0.2,20.9
0.4688,-0.2,25.6
0.4792,-0.1,29.3
0.4896,-0.1,30.7
0.5000,-0.0,31.6
0.5104,0.0,32.3
0.5208,0.1,33.0
0.5313,0.1,33.3
0.5417,0.2,33.3
0.5521,0.2,33.1
0.5625,0.3,33.1
0.5729,0.3,34.0
0.5833,0.4,37.9
0.5938,0.4,43.2
0.6042,0.5,47.4
0.6146,0.6,48.4
0.6250,0.7,47.3
0.6354,0.7,44.6
0.6458,0.8,40.2
0.6563,0.8,34.3
0.6667,0.8,27.1
0.6771,0.8,19.6
0.6875,0.7,12.6
0.6979,0.7,6.9
0.7083,0.6,1.8
0.7188,0.6,0.0
0.7292,0.5,0.0
0.7396,0.4,0.0
0.7500,0.3,0.0
0.7604,0.3,0.0
0.7708,0.2,0.0
0.7812,0.2,0.0
0.7917,0.1,0.0
0.8021,0.1,0.0
0.8125,-0.0,0.0
0.8229,-0.1,0.0
0.8333,-0.2,0.0
0.8437,-0.2,0.0
0.8542,-0.3,0.0
0.8646,-0.3,0.0
0.8750,-0.4,0.0
0.8854,-0.4,0.0
0.8958,-0.5,0.0
0.9062,-0.6,0.0
0.9167,-0.7,0.0
0.9271,-0.7,0.0
0.9375,-0.8,0.0
0.9479,-0.8,0.0
0.9583,-0.9,0.0
0.9687,-0.9,0.0
0.9792,-1.0,0.0
0.9896,-1.1,0.0
1.0000,-1.2,0.0
1.0104,-1.2,0.0
1.0208,-1.3,0.0
1.0313,-1.4,0.0
1.0417,-1.5,0.0
